Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1012058,"A.C.M.S., Inc.",Lake Panasoffkee,FL,33538,835 CR 529,28.74,-82.09,95999.0,,95999.0,,,
1002983,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,42.30,-87.89,54787.2,54730.8,25.8,30.7,54787.2,
1007514,ABBVIE LTD.,BARCELONETA,PR,00617,RD 2 KM 58.0,18.43,-66.57,86045.7,85769.5,82.5,193.7,86045.7,
1004511,ABC COKE,TARRANT,AL,35217,ONE RAILROAD AVENUE,33.58,-86.78,176844.1,176691.5,45.0,107.6,162352.6,
1005353,ABERDEEN ENERGY LLC,MINA,SD,57451,13435 370TH AVENUE,45.44,-98.79,194355.0,194154.4,91.5,109.1,194355.0,
1006971,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,4304 Susquehanna Ave,39.48,-76.14,106920.0,106766.5,60.3,93.3,106920.0,
1002627,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,43.50,-92.92,170171.8,169932.7,142.0,97.1,170110.6,
1006529,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,611 PETAL RD,30.26,-92.53,53049.5,,53049.5,,,
1004761,ACE ETHANOL LLC,STANLEY,WI,54768,815 WEST MAPLE STREET,44.96,-90.96,73526.1,73450.5,34.5,41.1,73526.1,
1005601,ACME BRICK CO ELGIN PLANT,ELGIN,TX,78621,1776 OLD MCDADE RD,30.33,-97.29,27772.7,27744.2,13.0,15.5,27772.7,
1005046,ACME GYPSUM FACILITY,QUANAH,TX,79252,4164 HIGHWAY 285,34.32,-99.82,38344.2,38304.7,18.0,21.5,38344.2,
1002731,ADA COGENERATION,ADA,MI,49355,7575 FULTON STREET EAST,42.93,-85.43,100988.8,100884.7,47.5,56.6,100988.8,
1003752,"ADA Carbon Solutions (Red River), LLC",Coushatta,LA,71019,201 Red River Mine Road,32.01,-93.39,197306.9,197305.8,0.5,0.6,197306.9,
1003422,ADKINS ENERGY LLC,LENA,IL,61048,4350 WEST GALENA ROAD,42.36,-89.80,84644.0,84556.9,39.8,47.4,84644.0,
1002154,ADM - MANKATO,MANKATO,MN,56001,2019 3RD AVENUE,44.19,-94.00,129574.9,128762.6,299.8,512.6,129574.9,
1006208,ADM CORN PROCESSING,CLINTON,IA,52732,1251 BEAVER CHANNEL PARKWAY,41.82,-90.21,2089938.9,2073794.2,6128.7,10016.1,2089648.0,
1006047,ADM CORN PROCESSING,CEDAR RAPIDS,IA,52404,1350 WACONIA AVENUE SOUTHWEST,41.92,-91.69,3008750.9,2989848.2,8047.5,10855.2,3007055.2,
1010610,ADM Deerfield,Deerfield,MO,64741,17700 South Highway T,37.81,-94.59,34751.4,34715.8,16.3,19.4,34751.4,
1011855,ADM Fostoria,Fostoria,OH,44830,608 FINDLAY ROAD,41.15,-83.43,28360.8,28331.8,13.3,15.8,28360.8,
1000376,ADM QUINCY,QUINCY,IL,62305,2100 GARDNER EXPRESSWAY,39.90,-91.41,102194.7,102073.9,53.5,67.3,102194.7,
1006080,ADM SOUTHERN CELLULOSE PROD.IN,CHATTANOOGA,TN,37410,103 W 45TH ST,35.00,-85.32,31847.3,31812.4,15.5,19.4,31847.3,
1000034,ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,IA,50313,1935 EAST EUCLID AVENUE,41.63,-93.58,155623.3,154511.1,408.0,704.2,155623.3,
1011961,ADM Valdosta,Valdosta,GA,31601,1841 Clay Road,30.83,-83.25,38005.4,37054.4,148.8,802.2,38005.4,
1001991,ADRIAN LANDFILL,ADRIAN,MI,49221,1970 N OGDEN HWY,41.89,-84.06,7499.8,,7499.8,,,
1001633,ADS-CEDAR HILL LANDFILL,RAGLAND,AL,35131,1319 NO BUSINESS CREEK ROAD,33.68,-86.25,94485.7,,94464.5,21.2,30.2,
1001636,ADS-PECAN ROW-EVERGREEN LANDFILLS,VALDOSTA,GA,31601,2995 WETHERINGTON LANE,30.81,-83.36,309782.0,,309782.0,,,
1006790,ADS-STAR RIDGE LANDFILL,MOODY,AL,35004,3301 ACMAR ROAD,33.61,-86.51,143100.5,,143100.5,,,
1002094,ADS/MCLEAN COUNTY LANDFILL,BLOOMINGTON,IL,61704,2105 W OAKLAND AVE,40.47,-89.03,8221.3,15.8,8205.5,,15.8,
1001845,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WISCONSIN RAPIDS,WI,54495,2510 ENGEL ROAD,44.41,-89.85,22295.7,125.6,22169.5,0.6,126.4,
1003038,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MACON,MO,63552,31226 INTREPID ROAD,39.73,-92.54,33138.8,61.0,33077.5,0.3,61.3,
1006979,ADVANCED DISPOSAL OAK RIDGE LANDFILL,BALWIN,MO,63021,1741 SULPHUR SPRING ROAD,38.56,-90.53,5774.8,,5774.8,,,
1001637,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,DAVIS JUNCTION,IL,61020,8290 HIGHWAY 251,42.14,-89.09,156829.2,60.2,156769.0,,60.2,
1006963,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,DECATUR,IL,62522,1363 BEAR RD,39.82,-89.04,34028.2,94.7,33933.5,,94.7,
1000627,ADVANSIX INC - CHESTERFIELD PLANT,CHESTER,VA,23836,4101 BERMUDA HUNDRED RD,37.34,-77.28,54836.6,54779.0,26.0,31.6,54836.6,
1000630,ADVANSIX INCORPORATED - HOPEWELL,HOPEWELL,VA,23860,905 EAST RANDOLPH ROAD,37.18,-77.16,995690.3,995293.0,181.3,216.1,385473.3,
1005310,AES - PUERTO RICO COGENERATION PLANT,GUAYAMA,PR,00785,"KM 142, RTE. #3 BO. JOBOS",17.95,-66.15,3079369.9,3059710.3,7191.0,12468.6,3079369.9,
1001444,AES Alamitos,LONG BEACH,CA,90803,690 N STUDEBAKER ROAD,33.77,-118.10,686655.3,685958.2,318.0,379.1,,686655.3
1005972,AES HAWAII INC,KAPOLEI,HI,96707,91-086 KAOMI LP,21.30,-158.11,1287782.3,1276913.1,3972.0,6897.2,1287782.3,
1001447,AES Huntington Beach,HUNTINGTON BEACH,CA,92646,21730 NEWLAND ST,33.64,-117.98,201661.6,201456.6,93.5,111.5,,201661.6
1001450,AES Redondo Beach,REDONDO BEACH,CA,90277,1100 N HARBOR DRIVE,33.85,-118.40,194695.0,194497.7,90.0,107.3,,194695.0
1001223,AES Warrior Run,CUMBERLAND,MD,21502,11600 MEXICO FARMS RD SE,39.59,-78.75,1212774.5,1203057.9,3554.3,6162.3,202.5,1212572.0
1003853,AFTON CHEMICAL CORP,SAUGET,IL,62201,501 MONSANTO AVE.,38.60,-90.17,50153.5,50102.0,23.5,28.0,50153.5,
1007551,AG Energy,Ogdensburg,NY,13669,21 Entrance Avenue,44.73,-75.44,8596.1,8587.3,4.0,4.8,8596.1,0.0
1002069,AG PROCESSING INC,EMMETSBURG,IA,50536,4739 380TH ST,43.10,-94.65,24158.7,24134.0,11.3,13.4,24158.7,
1002070,AG PROCESSING INC A COOP-MANNING,MANNING,IA,51455,1000 300TH STREET,41.92,-95.07,21352.8,21330.9,10.0,11.9,21352.8,
1006054,AG PROCESSING INC-EAGLE GROVE,EAGLE GROVE,IA,50533,500 NORTH COMMERCIAL AVENUE,42.67,-93.90,105532.1,104942.6,218.8,370.7,105532.1,
1002408,AG PROCESSING INC-SHELDON,SHELDON,IA,51201,804 2ND AVE,43.18,-95.86,27545.1,27516.6,13.0,15.5,27545.1,
1002291,AG PROCESSING INCORPORATED A COOPERATIVE,DAWSON,MN,56232,800 DIAGONAL STREET,44.93,-96.06,36194.6,36157.3,17.0,20.3,36194.6,
1007333,AGC FLAT GLASS N AMERICA INC,RICHMOND,KY,40475,201 DUNCANNON LANE,37.70,-84.27,80102.0,80102.0,,,0.0,
1002067,AGP SOY/CORN PROCESSING,HASTINGS,NE,68901,2801 E 7TH ST,40.59,-98.34,215933.4,214303.3,597.3,1032.9,215933.4,
1005284,AGRI ENERGY LLC,LUVERNE,MN,56156,502 SOUTH WALNUT AVENUE,43.65,-96.22,37588.3,37506.6,60.5,21.2,37545.5,
1002380,AGRIUM US BORGER NITROGEN OPERATIONS,BORGER,TX,79007,9201 FM 1551,35.64,-101.42,1232578.8,1232107.5,215.0,256.3,456955.9,
1004236,AGRIUM US INC - KFO,KENNEWICK,WA,99337,227515 E BOWLES ROAD,46.17,-119.02,119949.5,11207.1,1.0,108741.4,2142.3,
1001919,AHN Heartland Ingredients,EDDYVILLE,IA,52553,1116 Highway 137,41.14,-92.65,142605.3,142458.4,67.0,79.9,142605.3,
1006430,"AIR LIQUID LARGE INDUSTRIES US, LP",EL SEGUNDO,CA,90245,324 W EL SEGUNDO BLVD,33.91,-118.40,574912.2,574912.2,,,,
1003724,AIR LIQUIDE - CORPUS CHRISTI SMR,CORPUS CHRISTI,TX,78407,5880 UP RIVER ROAD,27.81,-97.47,428722.1,428722.1,,,,
