Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006971,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,4304 Susquehanna Ave,39.48,-76.14,100250.1,100116.2,54.0,79.9,100250.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002627,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,43.50,-92.92,151051.8,150886.4,80.5,84.9,151042.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006529,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,611 PETAL RD,30.26,-92.53,46562.5,,46562.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004761,ACE ETHANOL LLC,STANLEY,WI,54768,815 WEST MAPLE STREET,44.96,-90.96,75972.2,75893.8,35.8,42.6,75972.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005601,ACME BRICK CO ELGIN PLANT,ELGIN,TX,78621,1776 OLD MCDADE RD,30.33,-97.29,24461.5,24436.3,11.5,13.7,24461.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005046,ACME GYPSUM FACILITY,QUANAH,TX,79252,4164 HIGHWAY 285,34.32,-99.82,37964.0,37925.1,17.8,21.2,37964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002731,ADA COGENERATION,ADA,MI,49355,7575 FULTON STREET EAST,42.93,-85.43,126690.2,126559.2,59.8,71.2,126690.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003752,"ADA Carbon Solutions (Red River), LLC",Coushatta,LA,71019,201 Red River Mine Road,32.01,-93.39,321029.9,321027.2,1.3,1.5,321029.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003422,ADKINS ENERGY LLC,LENA,IL,61048,4350 WEST GALENA ROAD,42.36,-89.80,93889.3,93792.3,44.3,52.7,93889.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002154,ADM - MANKATO,MANKATO,MN,56001,2019 3RD AVENUE,44.19,-94.00,106717.1,106155.0,209.3,352.8,106717.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006047,ADM CORN PROCESSING,CEDAR RAPIDS,IA,52404,1350 WACONIA AVENUE SOUTHWEST,41.92,-91.69,2839787.8,2821683.7,7505.8,10598.4,2838454.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006208,ADM CORN PROCESSING,CLINTON,IA,52732,1251 BEAVER CHANNEL PARKWAY,41.82,-90.21,2160740.2,2143652.6,6431.8,10655.9,2160560.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010610,ADM Deerfield,Deerfield,MO,64741,17700 South Highway T,37.81,-94.59,42746.8,42702.7,20.0,24.1,42746.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011855,ADM Fostoria,Fostoria,OH,44830,608 FINDLAY ROAD,41.15,-83.43,27102.5,27074.6,12.8,15.2,27102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000376,ADM QUINCY,QUINCY,IL,62305,2100 GARDNER EXPRESSWAY,39.90,-91.41,96735.6,96635.9,45.5,54.2,96735.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006080,ADM SOUTHERN CELLULOSE PROD.IN,CHATTANOOGA,TN,37410,103 W 45TH ST,35.00,-85.32,21700.3,21677.8,10.3,12.2,21700.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
